date,알러지,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
2020-10-19,48,93,,87,0.0,88,0.0,0
2020-10-20,66,65,,0,0.0,79,0.0,55
2020-10-21,37,61,,0,0.0,66,0.0,68
2020-10-22,54,81,,74,0.0,69,0.0,0
2020-10-23,57,62,,80,0.0,85,0.0,61
2020-10-24,73,100,,73,0.0,97,0.0,0
2020-10-25,57,68,,99,0.0,98,100.0,80
2020-10-26,67,55,,81,0.0,79,0.0,59
2020-10-27,40,56,,0,0.0,82,0.0,67
2020-10-28,60,58,,63,0.0,66,0.0,0
2020-10-29,0,75,,75,95.0,57,0.0,0
2020-10-30,0,70,,82,0.0,68,0.0,0
2020-10-31,0,0,,0,0.0,60,0.0,100
2020-11-01,67,53,,0,0.0,100,,0
2020-11-02,100,99,,80,0.0,79,,75
2020-11-03,75,49,,100,0.0,69,,58
2020-11-04,43,52,,39,0.0,61,,74
2020-11-05,0,0,,72,0.0,94,,0
2020-11-06,0,47,,48,0.0,71,,74
2020-11-07,0,70,,0,0.0,69,,91
2020-11-08,0,51,,0,0.0,77,,0
2020-11-09,95,95,,47,0.0,90,,87
2020-11-10,56,80,,47,0.0,90,,72
2020-11-11,52,100,,65,0.0,82,,77
2020-11-12,45,48,,0,0.0,99,,91
2020-11-13,44,77,,66,0.0,69,,89
2020-11-14,0,54,,0,100.0,71,,80
2020-11-15,49,83,,0,0.0,95,,0
2020-11-16,0,88,,56,0.0,82,,60
2020-11-17,0,71,,57,0.0,79,,100
2020-11-18,40,58,,61,0.0,82,,0
2020-11-19,45,50,,0,0.0,75,,82
2020-11-20,0,82,,0,0.0,61,,0
2020-11-21,0,76,,78,0.0,75,,77
2020-11-22,51,54,,69,0.0,73,,0
2020-11-23,49,64,,43,0.0,94,,0
2020-11-24,66,67,,66,0.0,75,,57
2020-11-25,0,51,,70,0.0,57,,64
2020-11-26,0,47,,0,0.0,91,,0
2020-11-27,45,0,,63,0.0,70,,72
2020-11-28,0,0,,0,0.0,70,,81
2020-11-29,59,64,,0,0.0,69,,0
2020-11-30,43,89,,59,0.0,73,,60
2020-12-01,51,88,,74,0.0,61,0.0,36
2020-12-02,58,0,,74,0.0,75,67.0,77
2020-12-03,51,84,,0,0.0,65,0.0,0
2020-12-04,0,82,,62,0.0,66,72.0,0
2020-12-05,0,74,,0,0.0,74,0.0,44
2020-12-06,0,69,,74,0.0,87,0.0,51
2020-12-07,0,63,,76,0.0,74,0.0,41
2020-12-08,0,84,,59,0.0,57,100.0,45
2020-12-09,60,44,,48,0.0,64,72.0,37
2020-12-10,100,67,,48,0.0,72,0.0,0
2020-12-11,48,81,,80,0.0,98,0.0,43
2020-12-12,55,64,,0,0.0,76,0.0,0
2020-12-13,59,57,,52,53.0,80,0.0,45
2020-12-14,54,60,,52,0.0,65,70.0,41
2020-12-15,74,68,,64,0.0,100,0.0,0
2020-12-16,65,50,,60,0.0,86,0.0,48
2020-12-17,60,59,,0,0.0,82,0.0,50
2020-12-18,0,50,,49,0.0,79,0.0,51
2020-12-19,0,86,,58,0.0,64,0.0,49
2020-12-20,0,66,,0,0.0,94,84.0,61
2020-12-21,50,65,,59,0.0,71,0.0,51
2020-12-22,0,100,,70,0.0,84,0.0,51
2020-12-23,0,73,,73,0.0,63,0.0,48
2020-12-24,0,0,,78,0.0,77,0.0,46
2020-12-25,0,69,,70,100.0,69,0.0,45
2020-12-26,73,86,,79,0.0,69,0.0,45
2020-12-27,59,82,,60,0.0,66,0.0,33
2020-12-28,64,95,,83,0.0,66,0.0,39
2020-12-29,48,56,,100,0.0,48,0.0,0
2020-12-30,0,0,,0,50.0,70,0.0,63
2020-12-31,79,90,,53,0.0,79,0.0,100
2021-01-01,0,0,,54,0.0,68,0.0,65
2021-01-02,69,71,,74,0.0,63,0.0,57
2021-01-03,0,69,,83,0.0,72,0.0,41
2021-01-04,59,80,,0,84.0,75,92.0,49
2021-01-05,0,79,,62,0.0,100,0.0,53
2021-01-06,72,57,,64,0.0,58,0.0,38
2021-01-07,60,65,,60,75.0,62,0.0,97
2021-01-08,0,51,,39,0.0,62,100.0,100
2021-01-09,92,58,,48,0.0,73,0.0,76
2021-01-10,62,62,,0,0.0,56,0.0,68
2021-01-11,61,52,,68,0.0,69,0.0,58
2021-01-12,0,90,,0,0.0,47,0.0,71
2021-01-13,0,45,,49,83.0,64,0.0,42
2021-01-14,59,60,,53,0.0,67,0.0,79
2021-01-15,64,91,,0,0.0,65,0.0,64
2021-01-16,0,67,,72,0.0,42,0.0,71
2021-01-17,63,71,,53,0.0,43,0.0,47
2021-01-18,0,80,,81,0.0,57,0.0,41
2021-01-19,57,55,,64,0.0,52,0.0,42
2021-01-20,52,42,,81,0.0,66,0.0,31
2021-01-21,0,69,,56,0.0,41,0.0,48
2021-01-22,59,80,,100,0.0,54,0.0,49
2021-01-23,100,80,,57,0.0,67,0.0,0
2021-01-24,72,68,,82,100.0,50,0.0,58
2021-01-25,65,100,,87,0.0,64,0.0,38
2021-01-26,72,65,,79,0.0,52,98.0,42
2021-01-27,63,67,,85,0.0,46,0.0,31
2021-01-28,67,59,,69,0.0,54,0.0,0
2021-01-29,77,75,,58,0.0,39,0.0,52
2021-01-30,78,78,,0,0.0,71,0.0,50
2021-01-31,0,60,,59,0.0,70,0.0,43
2021-02-01,70,59,0.0,81,0.0,86,0.0,0
2021-02-02,69,57,0.0,85,0.0,80,0.0,87
2021-02-03,0,84,100.0,36,0.0,76,0.0,52
2021-02-04,59,78,0.0,44,0.0,77,0.0,72
2021-02-05,0,0,0.0,0,0.0,67,0.0,63
2021-02-06,0,95,0.0,43,0.0,93,0.0,100
2021-02-07,0,62,0.0,55,100.0,70,0.0,56
2021-02-08,80,86,0.0,79,0.0,59,0.0,59
2021-02-09,70,82,0.0,68,0.0,94,0.0,53
2021-02-10,0,71,0.0,80,0.0,36,100.0,0
2021-02-11,81,91,0.0,80,0.0,64,0.0,0
2021-02-12,71,100,0.0,67,0.0,84,0.0,0
2021-02-13,64,57,0.0,56,0.0,48,0.0,0
2021-02-14,81,89,0.0,100,0.0,83,0.0,0
2021-02-15,61,99,0.0,87,0.0,63,0.0,47
2021-02-16,60,79,0.0,77,0.0,54,0.0,68
2021-02-17,58,0,0.0,70,0.0,54,0.0,74
2021-02-18,50,51,0.0,72,0.0,64,0.0,45
